figure,subplot,gvs_code,time_index,n_subjects,mean,ci95_low,ci95_high,sd_between_subjects,iqr_between_subjects,raw_mean,raw_sd_between_subjects,direction_reference,direction,n_same_direction,prop_same_direction
gvs_minus_sham,gvs1,gvs-02,0,18,0.0006020157737268666,-0.0024127631849830138,0.0032520189341935834,0.006352004628604572,0.00653327178846325,0.0006020157737268666,0.006352004628604572,0.0006020157737268666,positive,13,0.7222222222222222
gvs_minus_sham,gvs1,gvs-02,1,18,-8.766568804376653e-05,-0.002985260482357386,0.002621240644958432,0.006310980145519721,0.0073814684993719,-8.766568804376653e-05,0.006310980145519721,-8.766568804376653e-05,negative,8,0.4444444444444444
gvs_minus_sham,gvs1,gvs-02,2,18,0.0010083832615258833,-0.001283124802633902,0.003203353274717165,0.005011341100357732,0.00657196939227485,0.0010083832615258833,0.005011341100357732,0.0010083832615258833,positive,11,0.6111111111111112
gvs_minus_sham,gvs1,gvs-02,3,18,-0.0003934181968352187,-0.0031687406746294276,0.0023025161097410584,0.0061602812228921345,0.008213404316710176,-0.0003934181968352187,0.0061602812228921345,-0.0003934181968352187,negative,9,0.5
gvs_minus_sham,gvs1,gvs-02,4,18,-0.0014290635039192498,-0.004490900522524049,0.0016785392822369991,0.007008724451761171,0.0116575999018457,-0.0014290635039192498,0.007008724451761171,-0.0014290635039192498,negative,10,0.5555555555555556
gvs_minus_sham,gvs1,gvs-02,5,18,-0.003326369190272906,-0.007086802113011764,0.000216792034577018,0.00827403412114227,0.009713352033467725,-0.003326369190272906,0.00827403412114227,-0.003326369190272906,negative,11,0.6111111111111112
gvs_minus_sham,gvs1,gvs-02,6,18,-0.002709837225397289,-0.006418406642410785,0.0006981298130645931,0.007924651936373595,0.0083888108492268,-0.002709837225397289,0.007924651936373595,-0.002709837225397289,negative,10,0.5555555555555556
gvs_minus_sham,gvs1,gvs-02,7,18,-0.0026388452532711926,-0.006192952216935593,0.0005990518215514245,0.007598352695518638,0.0085730740332484,-0.0026388452532711926,0.007598352695518638,-0.0026388452532711926,negative,10,0.5555555555555556
gvs_minus_sham,gvs1,gvs-02,8,18,-0.002088883690730828,-0.005932956933098553,0.001369159441756276,0.00812308287148027,0.013966881078316225,-0.002088883690730828,0.00812308287148027,-0.002088883690730828,negative,9,0.5
gvs_minus_sham,gvs2,gvs-03,0,18,0.0005772789752789444,-0.002995412325893272,0.004544048730506317,0.008350215096795404,0.007812860171826825,0.0005772789752789444,0.008350215096795404,0.0005772789752789444,positive,9,0.5
gvs_minus_sham,gvs2,gvs-03,1,18,0.0010105419364550778,-0.0026176815332892697,0.005000210916646175,0.008505563802544658,0.008273081911774225,0.0010105419364550778,0.008505563802544658,0.0010105419364550778,positive,10,0.5555555555555556
gvs_minus_sham,gvs2,gvs-03,2,18,0.0030644301853610615,-0.00019952873357233615,0.006505962356438193,0.0075316595585912804,0.00909719669022335,0.0030644301853610615,0.0075316595585912804,0.0030644301853610615,positive,12,0.6666666666666666
gvs_minus_sham,gvs2,gvs-03,3,18,0.0007451205282264041,-0.0022544299866135756,0.00395925793291708,0.006937990496709371,0.003898725284214125,0.0007451205282264041,0.006937990496709371,0.0007451205282264041,positive,11,0.6111111111111112
gvs_minus_sham,gvs2,gvs-03,4,18,-0.001193181868820789,-0.004281190909186509,0.0021076822012273066,0.007157494930785525,0.00767201745014135,-0.001193181868820789,0.007157494930785525,-0.001193181868820789,negative,12,0.6666666666666666
