active_gvs,sham_gvs,feature,label,n_subjects,mean_sham,mean_active,mean_active_minus_sham,median_active_minus_sham,mean_diff_ci95_low,mean_diff_ci95_high,cohen_dz,p_perm,p_perm_exact,p_wilcoxon,p_paired_t,q_perm_fdr
gvs-02,gvs-01,slope,Linear slope,18,0.0001946451855127715,-0.00011260377770961998,-0.00030724896322239137,-0.00030927165279775006,-0.0006330566590446138,5.491080423212711e-06,-0.4261171745492681,0.08657073974609375,True,0.1083831787109375,0.0883542241818758,0.631103515625
gvs-02,gvs-01,early_late_change,Late minus early,18,0.0012436858892819276,-0.0005950392639352251,-0.0018387251532171528,-0.0011871410047593998,-0.004023572225734818,0.0001785879288738692,-0.39564056027815064,0.10924530029296875,True,0.15404510498046875,0.11152334071962593,0.631103515625
gvs-02,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.05015695353925295,0.04922569523167142,-0.000931258307581533,-0.0003211939558084983,-0.005666147317518524,0.003358177445003806,-0.09420183248827611,0.703460693359375,True,0.8985748291015625,0.6943803162254754,0.9762238533266129
gvs-02,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.04062628887697682,0.041163942119437705,0.0005376532424608822,0.0009691883310808756,-0.0033477462858026792,0.004268653893028585,0.06375096179006795,0.79107666015625,True,0.5798416137695312,0.7900531329010352,0.9762238533266129
gvs-03,gvs-01,slope,Linear slope,18,0.0001946451855127715,0.00011292443985428322,-8.172074565848817e-05,0.00016538249794562497,-0.0006288545507026233,0.00041377737254027797,-0.0717133471215862,0.7659530639648438,True,0.6705245971679688,0.7646272229201379,0.9762238533266129
gvs-03,gvs-01,early_late_change,Late minus early,18,0.0012436858892819276,0.0008824283727173166,-0.000361257516564611,0.0015697806762115499,-0.003598518052117944,0.0027211609510198425,-0.05095268078018093,0.8323593139648438,True,0.7018814086914062,0.8314248445332924,0.9762238533266129
gvs-03,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.04062628887697682,0.040776569881331076,0.00015028100435424997,-0.0006502458260705989,-0.0039360730114755774,0.003621753522309697,0.017603778626002032,0.9454803466796875,True,0.6705245971679688,0.941335968844152,0.9762238533266129
gvs-03,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.05015695353925295,0.05033743918788383,0.0001804856486308752,0.000594817193066248,-0.004502676600638156,0.0039616836146432865,0.019319079981414845,0.9457168579101562,True,0.6396942138671875,0.9356327182958404,0.9762238533266129
gvs-04,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.04062628887697682,0.044822172185733665,0.004195883308756835,0.003914086572731023,-8.849311090661508e-06,0.008456638328703091,0.4418242174381126,0.077911376953125,True,0.0736846923828125,0.07815076488369145,0.631103515625
gvs-04,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.05015695353925295,0.05306295932953286,0.002906005790279903,0.0013028935784711992,-0.0021835406141916852,0.007857887480915251,0.2583805711752388,0.298980712890625,True,0.18146514892578125,0.28827116935546426,0.8372145432692307
gvs-04,gvs-01,early_late_change,Late minus early,18,0.0012436858892819276,-0.000506947765952389,-0.0017506336552343166,-0.0015664029331091752,-0.00498766558274238,0.0016406903414519247,-0.23539904035358425,0.3346099853515625,True,0.19638824462890625,0.331937849595087,0.8372145432692307
gvs-04,gvs-01,slope,Linear slope,18,0.0001946451855127715,-8.059980890402985e-05,-0.0002752449944168013,-0.00015687024914388354,-0.000804882068219327,0.00027008159860247556,-0.23281224376552323,0.340118408203125,True,0.24620819091796875,0.3371315456461045,0.8372145432692307
gvs-05,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.05015695353925295,0.0485743156192161,-0.0015826379200368501,5.9107090818851654e-05,-0.007192687243479286,0.003094287312791468,-0.13670010244975642,0.629241943359375,True,0.932281494140625,0.5695430209125851,0.9762238533266129
