figure,subplot,gvs_code,time_index,n_subjects,mean,ci95_low,ci95_high,sd_between_subjects,iqr_between_subjects,raw_mean,raw_sd_between_subjects,direction_reference,direction,n_same_direction,prop_same_direction
original_signal_subject_centered,sham,gvs-01,0,18,0.020695381767301273,0.018629612834499116,0.022719398227261146,0.004616307595592003,0.004201589011533113,0.02069538176730125,0.7403720611351741,-0.003086440783553675,negative,14,0.7777777777777778
original_signal_subject_centered,sham,gvs-01,1,18,0.022596049535857532,0.02051411045566443,0.024826924036387196,0.004726358215615909,0.0029158003541129816,0.0225960495358575,0.7409640518069252,-0.001185773014997417,negative,14,0.7777777777777778
original_signal_subject_centered,sham,gvs-01,2,18,0.023153658973250228,0.02060325857327871,0.025589170511279947,0.005534627687351429,0.004344893538421185,0.02315365897325021,0.7399283247582448,-0.0006281635776047213,negative,8,0.4444444444444444
original_signal_subject_centered,sham,gvs-01,3,18,0.025627923627916674,0.023574327858764295,0.02754753312755023,0.004439237617404842,0.005331057618969293,0.025627923627916653,0.740927856369658,0.001846101077061727,positive,13,0.7222222222222222
original_signal_subject_centered,sham,gvs-01,4,18,0.026190107026670375,0.02415978679784031,0.028060204583307238,0.0043851764745682035,0.003659458369725671,0.026190107026670337,0.7414118779259328,0.0024082844758154293,positive,14,0.7777777777777778
original_signal_subject_centered,sham,gvs-01,5,18,0.025887743936487757,0.023405832876496193,0.02827740467231179,0.005501313265826894,0.004496323869283482,0.025887743936487725,0.7428489100998388,0.0021059213856328054,positive,13,0.7222222222222222
original_signal_subject_centered,sham,gvs-01,6,18,0.025257798617760056,0.022676152184145214,0.027905241217395505,0.0059487778223953885,0.005226910551686514,0.025257798617760008,0.7423439626706282,0.001475976066905108,positive,11,0.6111111111111112
original_signal_subject_centered,sham,gvs-01,7,18,0.023150432206625687,0.020753974859394776,0.02567358097825125,0.005506627621132864,0.004677471440764965,0.023150432206625667,0.7407612655603762,-0.0006313903442292589,negative,10,0.5555555555555556
original_signal_subject_centered,sham,gvs-01,8,18,0.021477307265825266,0.019210405870800543,0.024143207750301782,0.005564641221830486,0.004499224421290644,0.021477307265825234,0.7396216721584158,-0.0023045152850296835,negative,15,0.8333333333333334
original_signal_subject_centered,gvs1,gvs-02,0,18,0.021657803138029976,0.019152116484231083,0.02382131708855713,0.005225908824682081,0.005177139865575886,0.021657803138029993,0.7385089579481393,-0.0012390045546946263,negative,12,0.6666666666666666
original_signal_subject_centered,gvs1,gvs-02,1,18,0.022859814509711956,0.020824009608090742,0.02490891774445903,0.0045486827406706395,0.006120020033621734,0.02285981450971196,0.7390143816616672,-3.699318301265096e-05,negative,9,0.5
original_signal_subject_centered,gvs1,gvs-02,2,18,0.024486486313422227,0.02230320306404104,0.02670499150276613,0.004880180262202944,0.005468253478234722,0.024486486313422245,0.7391963058274647,0.001589678620697624,positive,11,0.6111111111111112
