active_gvs,sham_gvs,feature,label,n_subjects,mean_sham,mean_active,mean_active_minus_sham,median_active_minus_sham,mean_diff_ci95_low,mean_diff_ci95_high,cohen_dz,p_perm,p_perm_exact,p_wilcoxon,p_paired_t,q_perm_fdr
gvs-02,gvs-01,slope,Linear slope,18,0.00015471006775243608,-0.0003250654075941844,-0.00047977547534662035,-0.0002930970125188167,-0.0008730681602150509,-0.00012404497692877154,-0.5748795654613479,0.02359771728515625,True,0.04827880859375,0.025987665907066766,0.11753627232142858
gvs-02,gvs-01,early_late_change,Late minus early,18,0.0011567361221382455,-0.001830030383397872,-0.0029867665055361165,-0.0021346329219861203,-0.005439912685105216,-0.000752132139821436,-0.5645247182651334,0.0257110595703125,True,0.04827880859375,0.028407959553514366,0.11753627232142858
gvs-02,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.03813021414592807,0.03947128048297449,0.0013410663370464204,0.0018943027144258432,-0.0004432571984362833,0.003023813791084997,0.33942836731083914,0.16650390625,True,0.19638824462890625,0.16800924604352716,0.3134191176470588
gvs-02,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.04736544716639237,0.048079869364539805,0.0007144221981474325,0.0016814205721998308,-0.002032805987787507,0.0030465575710675852,0.1272514834031963,0.6158447265625,True,0.2121429443359375,0.5962801622973064,0.7228667160560345
gvs-03,gvs-01,early_late_change,Late minus early,18,0.0011567361221382455,-0.0010165918544632463,-0.0021733279766014916,-0.0012343751463865364,-0.0041900087654653875,-0.00029678229356343023,-0.5026099294055009,0.0452880859375,True,0.08142852783203125,0.04785452662380942,0.18115234375
gvs-03,gvs-01,slope,Linear slope,18,0.00015471006775243608,-0.00016455980809789228,-0.0003192698758503283,-0.0001229194174242875,-0.0006431543808748105,-2.8059628298940602e-05,-0.47493844053599804,0.05649566650390625,True,0.1083831787109375,0.06000105064340747,0.2008734809027778
gvs-03,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.04736544716639237,0.0482215262927194,0.0008560791263270281,0.0009682633117950052,-0.002769784983538486,0.003913237044766702,0.11746445794063529,0.6550979614257812,True,0.28372955322265625,0.6246167217493679,0.7228667160560345
gvs-03,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.03813021414592807,0.03856856078810504,0.0004383466421769784,0.0008766556844679784,-0.002123333408089374,0.00276662150764514,0.07934030129708762,0.7493209838867188,True,0.4171142578125,0.740528710135604,0.7992757161458334
gvs-04,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.03813021414592807,0.04087209071527754,0.0027418765693494724,0.0030367704589575896,2.4581073850982463e-06,0.005537319604114341,0.444751170807024,0.07547760009765625,True,0.0736846923828125,0.07636917100702707,0.2415283203125
gvs-04,gvs-01,early_late_change,Late minus early,18,0.0011567361221382455,-0.0011501214035500268,-0.002306857525688272,-0.002759967413007182,-0.005031598087760422,0.0005062322636562837,-0.3758873401793532,0.129486083984375,True,0.11870574951171875,0.1291883609060135,0.3081512451171875
