roi_name,roi_source,matched_labels,priority_roi_voxels,roi_membership,has_same_voxel_overlap,vigour_network_voxels,vigour_network_pct,task_activation_voxels,task_activation_pct,union_voxels,union_pct,vigour_only_voxels,vigour_only_pct_of_vigour_only,task_only_voxels,task_only_pct_of_task_only,both_voxels,both_pct_of_overlap,vigour_only_pct_of_roi,task_only_pct_of_roi,both_pct_of_roi,vigour_network_pct_of_roi,task_activation_pct_of_roi,union_pct_of_roi,overlap_pct_of_vigour_in_roi,overlap_pct_of_task_in_roi,x_mm,y_mm,z_mm
Precentral,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,Precentral_L;Precentral_R; Precentral Gyrus,5633,both_maps,True,240,0.040288735940909856,435,0.02012956964368348,660,0.024386639077741648,225,0.041254125412541254,420,0.019898611834936276,15,0.02982107355864811,0.039943191904846444,0.07456062488904669,0.002662879460323096,0.042606071365169536,0.07722350434936978,0.11716669625421623,0.0625,0.034482758620689655,8.103030303030303,-10.172727272727272,50.39393939393939
Orbitofrontal,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,Rectus_L;Rectus_R;OFCmed_L;OFCmed_R;OFCant_L;OFCant_R;OFCpost_L;OFCpost_R;OFClat_L;OFClat_R; Frontal Orbital Cortex,4686,both_maps,False,466,0.07822729561859997,15,0.0006941230911614993,481,0.01777268696423293,466,0.08544187752108544,15,0.0007106647083905813,0,0.0,0.09944515578318396,0.003201024327784891,0.0,0.09944515578318396,0.003201024327784891,0.10264618011096885,0.0,0.0,-4.286902286902287,20.993762993762992,-20.823284823284823
Supp_Motor_Area,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,Supp_Motor_Area_L;Supp_Motor_Area_R; Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),3394,both_maps,True,284,0.04767500419674333,43,0.001989819527996298,325,0.012008572273130357,282,0.0517051705170517,41,0.001942483536267589,2,0.003976143141153081,0.08308780200353565,0.012080141426045963,0.0005892751915144372,0.08367707719505009,0.012669416617560401,0.09575721862109605,0.007042253521126761,0.046511627906976744,2.0676923076923077,3.316923076923077,65.6
ParaHippocampal,AAL3v2 (AAL3v1.nii); Harvard-Oxford cortical maxprob-thr25 fill after AAL3,"ParaHippocampal_L;ParaHippocampal_R; Parahippocampal Gyrus, anterior division; Parahippocampal Gyrus, posterior division",1332,both_maps,False,278,0.04666778579822058,5,0.00023137436372049977,283,0.010456695240910434,278,0.05097176384305097,5,0.00023688823613019378,0,0.0,0.2087087087087087,0.0037537537537537537,0.0,0.2087087087087087,0.0037537537537537537,0.21246246246246248,0.0,0.0,2.8056537102473498,-2.395759717314488,-28.473498233215548
Paracentral_Lobule,AAL3v2 (AAL3v1.nii),Paracentral_Lobule_L;Paracentral_Lobule_R,1616,both_maps,True,146,0.02450898103072016,122,0.005645534474780194,249,0.009200413833875258,127,0.023285661899523285,103,0.004879897664281992,19,0.03777335984095427,0.07858910891089109,0.06373762376237624,0.011757425742574257,0.09034653465346534,0.07549504950495049,0.15408415841584158,0.13013698630136986,0.1557377049180328,-0.2891566265060241,-27.983935742971887,70.24096385542168
Rolandic_Oper,AAL3v2 (AAL3v1.nii),Rolandic_Oper_L;Rolandic_Oper_R,1892,both_maps,False,3,0.0005036091992613732,239,0.011059694585839889,242,0.008941767661838605,3,0.00055005500550055,239,0.011323257687023263,0,0.0,0.0015856236786469344,0.1263213530655391,0.0,0.0015856236786469344,0.1263213530655391,0.12790697674418605,0.0,0.0,5.760330578512397,-17.06611570247934,15.380165289256198
Pallidum,AAL3v2 (AAL3v1.nii); Harvard-Oxford subcortical maxprob-thr25 fill after AAL3,Pallidum_L;Pallidum_R; Left Pallidum; Right Pallidum,523,both_maps,False,2,0.00033573946617424877,171,0.007913003239241092,173,0.00639225539462016,2,0.0003667033370003667,171,0.008101577675652626,0,0.0,0.0038240917782026767,0.32695984703632885,0.0,0.0038240917782026767,0.32695984703632885,0.33078393881453155,0.0,0.0,-3.2947976878612715,-8.439306358381502,-0.3583815028901734
Caudate,AAL3v2 (AAL3v1.nii); Harvard-Oxford subcortical maxprob-thr25 fill after AAL3,Caudate_L;Caudate_R; Left Caudate; Right Caudate,1205,vigour_region_not_task_region,False,121,0.02031223770354205,0,0.0,121,0.004470883830919302,121,0.022185551888522184,0,0.0,0,0.0,0.1004149377593361,0.0,0.0,0.1004149377593361,0.0,0.1004149377593361,0.0,,-14.991735537190083,1.3553719008264462,17.818181818181817
Hippocampus,AAL3v2 (AAL3v1.nii); Harvard-Oxford subcortical maxprob-thr25 fill after AAL3; Nearest-label fill for atlas-uncovered selected voxels,Hippocampus_L;Hippocampus_R; Left Hippocampus; Right Hippocampus; nearest atlas label for uncovered selected voxels,1088,both_maps,False,66,0.011079402383750209,29,0.0013419713095788987,95,0.003510198049068874,66,0.0121012101210121,29,0.0013739517695551238,0,0.0,0.06066176470588235,0.02665441176470588,0.0,0.06066176470588235,0.02665441176470588,0.08731617647058823,0.0,0.0,-3.831578947368421,-18.042105263157893,-15.031578947368422
Amygdala,AAL3v2 (AAL3v1.nii); Harvard-Oxford subcortical maxprob-thr25 fill after AAL3,Amygdala_L;Amygdala_R; Left Amygdala; Right Amygdala,411,vigour_region_not_task_region,False,86,0.014436797045492698,0,0.0,86,0.0031776529707360332,86,0.015768243491015767,0,0.0,0,0.0,0.20924574209245742,0.0,0.0,0.20924574209245742,0.0,0.20924574209245742,0.0,,-16.976744186046513,-0.6976744186046512,-22.697674418604652
Cerebral_Cortex,Harvard-Oxford subcortical maxprob-thr25 fill after AAL3; Nearest-label fill for atlas-uncovered selected voxels,Left Cerebral Cortex; Right Cerebral Cortex; nearest atlas label for uncovered selected voxels,3522,both_maps,False,7,0.0011750881316098707,72,0.0033317908375751965,79,0.0029190067986993792,7,0.0012834616795012834,72,0.0034111906002747905,0,0.0,0.0019875070982396364,0.020442930153321975,0.0,0.0019875070982396364,0.020442930153321975,0.022430437251561613,0.0,0.0,-23.0126582278481,-28.455696202531644,6.936708860759493
Thalamus,AAL3v2 (AAL3v1.nii); Harvard-Oxford subcortical maxprob-thr25 fill after AAL3,Thal_AV_L;Thal_AV_R;Thal_LP_L;Thal_LP_R;Thal_VA_L;Thal_VA_R;Thal_VL_L;Thal_VL_R;Thal_VPL_L;Thal_VPL_R;Thal_IL_L;Thal_IL_R;Thal_Re_L;Thal_Re_R;Thal_MDm_L;Thal_MDm_R;Thal_MDl_L;Thal_MDl_R;Thal_LGN_L;Thal_LGN_R;Thal_MGN_L;Thal_MGN_R;Thal_PuI_L;Thal_PuI_R;Thal_PuM_L;Thal_PuM_R;Thal_PuA_L;Thal_PuA_R;Thal_PuL_L;Thal_PuL_R; Left Thalamus; Right Thalamus,740,both_maps,False,9,0.0015108275977841195,57,0.0026376677464136976,66,0.002438663907774165,9,0.0016501650165016502,57,0.002700525891884209,0,0.0,0.012162162162162163,0.07702702702702703,0.0,0.012162162162162163,0.07702702702702703,0.0891891891891892,0.0,0.0,1.696969696969697,-16.636363636363637,8.212121212121213
Olfactory,AAL3v2 (AAL3v1.nii),Olfactory_L;Olfactory_R,460,vigour_region_not_task_region,False,36,0.006043310391136478,0,0.0,36,0.0013301803133313626,36,0.006600660066006601,0,0.0,0,0.0,0.0782608695652174,0.0,0.0,0.0782608695652174,0.0,0.0782608695652174,0.0,,-2.1666666666666665,15.055555555555555,-15.333333333333334
