roi_name,roi_total_voxels,vigour_only_voxels,vigour_only_pct_of_roi,task_only_voxels,task_only_pct_of_roi,same_voxel_overlap_voxels,same_voxel_overlap_pct_of_roi,vigour_total_voxels,vigour_network_pct_of_roi,task_total_voxels,task_activation_pct_of_roi,union_voxels,selected_union_pct_of_roi,roi_status
Rectus,1154,179,0.15511265164644714,0,0.0,0,0.0,179,0.15511265164644714,0,0.0,179,0.15511265164644714,Vigour network only in ROI
Pallidum,523,2,0.0038240917782026767,171,0.32695984703632885,0,0.0,2,0.0038240917782026767,171,0.32695984703632885,173,0.33078393881453155,"Both maps in ROI, no shared voxels"
OFCpost,1061,144,0.1357210179076343,2,0.001885014137606032,0,0.0,144,0.1357210179076343,2,0.001885014137606032,146,0.13760603204524033,"Both maps in ROI, no shared voxels"
Cerebellum_9,1452,7,0.0048209366391184574,133,0.09159779614325068,3,0.002066115702479339,10,0.006887052341597796,136,0.09366391184573003,143,0.09848484848484848,Shared voxels present
ACC_sup,763,0,0.0,139,0.182175622542595,0,0.0,0,0.0,139,0.182175622542595,139,0.182175622542595,Task activation network only in ROI
Insular_Cortex,339,0,0.0,138,0.40707964601769914,0,0.0,0,0.0,138,0.40707964601769914,138,0.40707964601769914,Task activation network only in ROI
OFCmed,936,136,0.1452991452991453,0,0.0,0,0.0,136,0.1452991452991453,0,0.0,136,0.1452991452991453,Vigour network only in ROI
Vermis_8,262,0,0.0,133,0.5076335877862596,0,0.0,0,0.0,133,0.5076335877862596,133,0.5076335877862596,Task activation network only in ROI
Caudate,1205,121,0.1004149377593361,0,0.0,0,0.0,121,0.1004149377593361,0,0.0,121,0.1004149377593361,Vigour network only in ROI
Vermis_6,378,0,0.0,101,0.2671957671957672,0,0.0,0,0.0,101,0.2671957671957672,101,0.2671957671957672,Task activation network only in ROI
Vermis_9,202,0,0.0,97,0.4801980198019802,0,0.0,0,0.0,97,0.4801980198019802,97,0.4801980198019802,Task activation network only in ROI
Hippocampus,1088,66,0.06066176470588235,29,0.02665441176470588,0,0.0,66,0.06066176470588235,29,0.02665441176470588,95,0.08731617647058823,"Both maps in ROI, no shared voxels"
Cerebellum_7b,1138,8,0.007029876977152899,81,0.07117750439367311,1,0.0008787346221441124,9,0.007908611599297012,82,0.07205623901581722,90,0.07908611599297012,Shared voxels present
Amygdala,411,86,0.20924574209245742,0,0.0,0,0.0,86,0.20924574209245742,0,0.0,86,0.20924574209245742,Vigour network only in ROI
Frontal_Sup_Medial,4142,61,0.0147271849348141,24,0.005794302269435055,0,0.0,61,0.0147271849348141,24,0.005794302269435055,85,0.020521487204249154,"Both maps in ROI, no shared voxels"
Cerebral_Cortex,3522,7,0.0019875070982396364,72,0.020442930153321975,0,0.0,7,0.0019875070982396364,72,0.020442930153321975,79,0.022430437251561613,"Both maps in ROI, no shared voxels"
Temporal_Pole_Sup,2526,60,0.023752969121140142,7,0.0027711797307996833,0,0.0,60,0.023752969121140142,7,0.0027711797307996833,67,0.026524148851939825,"Both maps in ROI, no shared voxels"
