set_name,n_regions,regions,vigour_network_voxels,task_activation_voxels,vigour_only_voxels,task_only_voxels,both_voxels,union_voxels
regions_with_vigour_only_voxels,59,Postcentral; Occipital_Mid; Temporal_Inf; Cerebellum_6; SupraMarginal; Cerebellum_8; Temporal_Mid; Fusiform; Parietal_Sup; Precuneus; Parietal_Inf; Insula; Frontal_Mid_2; Putamen; Precentral; Cingulate_Mid; Cerebellum_4_5; Temporal_Sup; Frontal_Sup_2; Cerebellum_Crus1; Occipital_Sup; Supp_Motor_Area; Temporal_Pole_Mid; ParaHippocampal; Paracentral_Lobule; Frontal_Inf_Oper; Rolandic_Oper; Angular; Cuneus; Rectus; Pallidum; OFCpost; Cerebellum_9; OFCmed; Caudate; Hippocampus; Cerebellum_7b; Amygdala; Frontal_Sup_Medial; Cerebral_Cortex; Temporal_Pole_Sup; Temporal_Pole; Olfactory; Thal_VL; Postcentral_Gyrus; Temporal_Fusiform_Cortex_anterior_division; Precentral_Gyrus; Lateral_Occipital_Cortex_superior_division; Inferior_Temporal_Gyrus_posterior_division; ACC_sub; OFCant; Parahippocampal_Gyrus_anterior_division; Supramarginal_Gyrus_posterior_division; Thalamus; Frontal_Orbital_Cortex; Frontal_Med_Orb; Angular_Gyrus; Middle_Temporal_Gyrus_posterior_division; Subcallosal_Cortex,5957,18681,5454,18178,503,24135
regions_with_task_only_voxels,87,Postcentral; Occipital_Mid; Temporal_Inf; Cerebellum_6; SupraMarginal; Cerebellum_8; Temporal_Mid; Fusiform; Parietal_Sup; Precuneus; Parietal_Inf; Insula; Frontal_Mid_2; Putamen; Occipital_Inf; Precentral; Cingulate_Mid; Cerebellum_4_5; Lingual; Temporal_Sup; Frontal_Sup_2; Cerebellum_Crus1; Occipital_Sup; Supp_Motor_Area; ParaHippocampal; Paracentral_Lobule; Frontal_Inf_Oper; Rolandic_Oper; Angular; Calcarine; Frontal_Inf_Tri; Frontal_Inf_Orb_2; Vermis_4_5; Cuneus; Pallidum; OFCpost; Cerebellum_9; ACC_sup; Insular_Cortex; Vermis_8; Vermis_6; Vermis_9; Hippocampus; Cerebellum_7b; Frontal_Sup_Medial; Cerebral_Cortex; Temporal_Pole_Sup; Lateral_Occipital_Cortex_inferior_division; Heschl; Cerebellum_10; Temporal_Pole; Thal_VL; Postcentral_Gyrus; Cingulate_Gyrus_posterior_division; Superior_Parietal_Lobule; Vermis_7; Precentral_Gyrus; Supramarginal_Gyrus_anterior_division; Vermis_10; Lateral_Occipital_Cortex_superior_division; Cerebellum_Crus2; Thal_VPL; Thal_LGN; ACC_pre; OFCant; Supramarginal_Gyrus_posterior_division; Thalamus; Frontal_Orbital_Cortex; Lingual_Gyrus; Supracalcarine_Cortex; OFClat; Occipital_Fusiform_Gyrus; Precuneous_Cortex; Central_Opercular_Cortex; Cerebellum_3; Middle_Temporal_Gyrus_temporooccipital_part; Occipital_Pole; Thal_PuI; Thal_VA; Cingulate_Gyrus_anterior_division; Thal_AV; Frontal_Opercular_Cortex; Inferior_Temporal_Gyrus_temporooccipital_part; Parahippocampal_Gyrus_posterior_division; Parietal_Opercular_Cortex; Superior_Frontal_Gyrus; Thal_PuL,5024,21610,4521,21107,503,26131
regions_with_same_voxel_overlap,19,Postcentral; Occipital_Mid; Temporal_Inf; Cerebellum_6; Cerebellum_8; Fusiform; Parietal_Sup; Precuneus; Putamen; Precentral; Cerebellum_4_5; Temporal_Sup; Cerebellum_Crus1; Occipital_Sup; Supp_Motor_Area; Paracentral_Lobule; Cerebellum_9; Cerebellum_7b; Postcentral_Gyrus,3115,12491,2612,11988,503,15103
regions_with_both_maps_but_no_same_voxel_overlap,26,SupraMarginal; Temporal_Mid; Parietal_Inf; Insula; Frontal_Mid_2; Cingulate_Mid; Frontal_Sup_2; ParaHippocampal; Frontal_Inf_Oper; Rolandic_Oper; Angular; Cuneus; Pallidum; OFCpost; Hippocampus; Frontal_Sup_Medial; Cerebral_Cortex; Temporal_Pole_Sup; Temporal_Pole; Thal_VL; Precentral_Gyrus; Lateral_Occipital_Cortex_superior_division; OFCant; Supramarginal_Gyrus_posterior_division; Thalamus; Frontal_Orbital_Cortex,1909,6190,1909,6190,0,8099
regions_present_only_in_vigour_map,14,Temporal_Pole_Mid; Rectus; OFCmed; Caudate; Amygdala; Olfactory; Temporal_Fusiform_Cortex_anterior_division; Inferior_Temporal_Gyrus_posterior_division; ACC_sub; Parahippocampal_Gyrus_anterior_division; Frontal_Med_Orb; Angular_Gyrus; Middle_Temporal_Gyrus_posterior_division; Subcallosal_Cortex,933,0,933,0,0,933
regions_present_only_in_task_activation_map,42,Occipital_Inf; Lingual; Calcarine; Frontal_Inf_Tri; Frontal_Inf_Orb_2; Vermis_4_5; ACC_sup; Insular_Cortex; Vermis_8; Vermis_6; Vermis_9; Lateral_Occipital_Cortex_inferior_division; Heschl; Cerebellum_10; Cingulate_Gyrus_posterior_division; Superior_Parietal_Lobule; Vermis_7; Supramarginal_Gyrus_anterior_division; Vermis_10; Cerebellum_Crus2; Thal_VPL; Thal_LGN; ACC_pre; Lingual_Gyrus; Supracalcarine_Cortex; OFClat; Occipital_Fusiform_Gyrus; Precuneous_Cortex; Central_Opercular_Cortex; Cerebellum_3; Middle_Temporal_Gyrus_temporooccipital_part; Occipital_Pole; Thal_PuI; Thal_VA; Cingulate_Gyrus_anterior_division; Thal_AV; Frontal_Opercular_Cortex; Inferior_Temporal_Gyrus_temporooccipital_part; Parahippocampal_Gyrus_posterior_division; Parietal_Opercular_Cortex; Superior_Frontal_Gyrus; Thal_PuL,0,2929,0,2929,0,2929
