percentile,threshold_label,threshold_value,roi_name,hemisphere,node_name,n_voxels,present_for_report,mean_weight,max_weight,x_mm,y_mm,z_mm,source
80.0,p80,0.0002701661694892721,Unassigned Active Voxels,NA,Unassigned Active Voxels,1244,False,0.0003913916509401852,0.0008649408850747164,-5.517684887459807,-20.117363344051448,-9.678456591639872,Outside atlas labels
80.0,p80,0.0002701661694892721,Precentral,Bilateral,Precentral,578,True,0.0003899153536404462,0.0006794936526617334,-15.60553633217993,-12.508650519031141,59.155709342560556,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Frontal,Bilateral,Frontal,1711,True,0.000395817982930336,0.000750143359807609,-15.111630625365283,22.969023962594974,42.17416715371128,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Rolandic_Oper,Bilateral,Rolandic_Oper,35,True,0.00031521070775991487,0.0003904937204044501,-44.34285714285714,-8.228571428571428,11.2,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Supp_Motor_Area,Bilateral,Supp_Motor_Area,544,True,0.00038704859031507555,0.0006857759729683721,0.6323529411764706,3.7904411764705883,64.0845588235294,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Olfactory,Bilateral,Olfactory,137,True,0.0003366911169858647,0.0004475625292403862,-0.145985401459854,13.708029197080291,-15.05109489051095,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Orbitofrontal,Bilateral,Orbitofrontal,1063,True,0.0003891051829460658,0.000615548606683447,-3.823142050799624,30.308560677328316,-20.541862652869238,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Insula,Bilateral,Insula,45,True,0.00033529054366330987,0.0005145299520048496,-9.822222222222223,14.0,-10.577777777777778,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Cingulate,Bilateral,Cingulate,145,True,0.000341550968185371,0.0006857759729683721,1.6827586206896552,-14.386206896551725,31.917241379310344,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Hippocampus,Bilateral,Hippocampus,356,True,0.0003614992343428377,0.0005602615483546458,9.887640449438202,-19.275280898876403,-12.674157303370787,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,ParaHippocampal,Bilateral,ParaHippocampal,587,True,0.00044478457683130634,0.0007082128312063674,3.7410562180579214,-9.948892674616696,-25.36967632027257,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Amygdala,Bilateral,Amygdala,154,True,0.00041146189858276414,0.0006006742894868466,-5.571428571428571,-1.7272727272727273,-19.961038961038962,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Occipital,Bilateral,Occipital,1063,True,0.0003400137319484541,0.0006048976980963516,10.641580432737536,-75.88711194731891,11.145813734713077,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Fusiform,Bilateral,Fusiform,739,True,0.00038961183739646315,0.0007527038012771214,2.760487144790257,-34.04871447902571,-24.982408660351826,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Postcentral,Bilateral,Postcentral,554,True,0.0003651525063992957,0.0006857759729683721,-30.902527075812273,-27.931407942238266,51.711191335740075,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Parietal,Bilateral,Parietal,2449,True,0.00037221707701147043,0.0007200119790091719,-1.2380563495304207,-55.47325438954675,47.507554103715805,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Paracentral_Lobule,Bilateral,Paracentral_Lobule,274,True,0.0003902880893442998,0.0005835826827702562,-3.6861313868613137,-27.16788321167883,70.4087591240876,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Caudate,Bilateral,Caudate,453,True,0.00039073067530387824,0.0006667970305294091,-3.253863134657837,5.730684326710817,12.198675496688741,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Putamen,Bilateral,Putamen,328,True,0.0003577806120927274,0.000519980788741492,-9.134146341463415,3.4207317073170733,0.2804878048780488,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Pallidum,Bilateral,Pallidum,16,False,0.00034705860248607223,0.00043967003440137375,7.625,0.125,-0.75,AAL3v2 (AAL3v1.nii)
80.0,p80,0.0002701661694892721,Temporal,Bilateral,Temporal,3662,True,0.0004122693771814172,0.000783838241620316,-9.54997269251775,-23.542872747132716,-16.46422719825232,AAL3v2 (AAL3v1.nii)
