model,status,term,coefficient,std_error,z_value,p_value,ci95_low,ci95_high,n_observations,n_subjects,covariance,formula
reward_main_subject_fixed_effects,fit,C(gvs)[T.2],-0.000981417219785024,0.0031637505174869846,-0.3102068934830483,0.7564036286926358,-0.0071822542901294716,0.005219419850559424,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_main_subject_fixed_effects,fit,C(gvs)[T.3],-0.001950682439563225,0.005124487755018173,-0.38065901077683567,0.7034562876215722,-0.01199449387861536,0.00809312899948891,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_main_subject_fixed_effects,fit,C(gvs)[T.4],0.004294681943894148,0.007108792531617879,0.6041366272531697,0.5457528097923672,-0.009638295391644208,0.018227659279432505,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_main_subject_fixed_effects,fit,C(gvs)[T.5],0.001083398801520347,0.004008887534931935,0.2702492379943359,0.7869685149570375,-0.006773876385017803,0.008940673988058498,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_main_subject_fixed_effects,fit,C(gvs)[T.6],0.0009631217350140884,0.004283637160296919,0.2248373751028273,0.822105789245414,-0.007432652822005302,0.00935889629203348,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_main_subject_fixed_effects,fit,C(gvs)[T.7],-0.0012400169652251713,0.004361808777947999,-0.2842896211989682,0.7761884392464188,-0.009789005077453915,0.0073089711470035726,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_main_subject_fixed_effects,fit,C(gvs)[T.8],-0.006300996586198303,0.0033843801614649002,-1.8617874723243177,0.06263305303577321,-0.01293425981266136,0.0003322666402647539,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_main_subject_fixed_effects,fit,C(gvs)[T.9],-0.0032421651741021303,0.005544276285077151,-0.5847769857408927,0.5586976810365643,-0.014108747013192872,0.007624416664988611,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_main_subject_fixed_effects,fit,C(run)[T.2],0.004702804968634808,0.0034785261971948117,1.3519532991953005,0.1763902553943396,-0.002114981097146097,0.011520591034415713,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_main_subject_fixed_effects,fit,reward_high,-0.007942595208016646,0.002231805893382186,-3.5588198918052214,0.0003725248732273785,-0.012316854379529969,-0.003568336036503322,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high + C(subject) + C(medication) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,Intercept,0.34471529712537996,0.006191023509696295,55.67985593747006,0.0,0.3325811140189345,0.35684948023182544,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(medication)[T.ON],-0.013304531406097646,0.0072862481709070346,-1.8259783490796775,0.06785352318287365,-0.027585315403496277,0.000976252591300986,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD002],0.016987520349402648,0.00016472986170745438,103.12350276582504,0.0,0.016664655753277774,0.017310384945527522,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD003],-0.00752535444714645,0.0002529498442263443,-29.750381820407924,1.7145297262642408e-194,-0.008021127031725101,-0.0070295818625677985,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD004],-0.002219569571241348,8.724217692238724e-05,-25.44147394689533,8.77282560031073e-143,-0.0023905610959420983,-0.0020485780465405974,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD007],0.1545404554338685,0.0002217409382438822,696.9414698872469,0.0,0.15410585118101236,0.15497505968672462,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD009],0.03265642549548403,0.00017110509820453062,190.85594665594445,0.0,0.03232106566543196,0.0329917853255361,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD010],0.014039839369645646,0.00016317625734956357,86.04094491252404,0.0,0.013720019782108461,0.01435965895718283,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD011],0.13159564019994258,0.00014404150563956152,913.595283634687,0.0,0.1313133240366101,0.13187795636327504,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD012],-0.02776825819902711,0.0008461781443338994,-32.816090069173235,3.471412198645971e-236,-0.02942673688642649,-0.026109779511627733,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD013],0.022418078242827984,0.0001524868287554536,147.0164893964733,0.0,0.022119209550350568,0.0227169469353054,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD014],-0.006405995831247144,0.00015248682875520223,-42.01015840870517,0.0,-0.006704864523724067,-0.006107127138770221,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD015],0.09558146616814028,0.0002243157381034071,426.1023634644764,0.0,0.09514181540029208,0.09602111693598848,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD017],0.013280278873485301,0.0033671209122427517,3.9441051330228745,8.009851505339166e-05,0.006680843153897856,0.019879714593072747,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD018],0.14153870713945688,0.0008339420738358565,169.72246823862218,0.0,0.13990421070954595,0.1431732035693678,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD020],0.023485644445892483,0.00017356499028255536,135.31325878369248,0.0,0.02314546331596163,0.023825825575823335,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD023],0.04690625834187033,0.00015961927089226303,293.86337927536505,0.0,0.04659341031968295,0.04721910636405771,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD024],-0.006370931418862384,0.00027401452266197554,-23.250342197087008,1.4112379957664274e-119,-0.00690799001452079,-0.005833872823203978,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
