6.021	2	1
16.521	2	1
25.201	2	1
33.301	2	1
42.441	2	1
60.601	2	1
70.201	2	1
79.361	2	1
87.901	2	1
96.901	2	1
105.6	2	1
114.14	2	1
124.2	2	1
133.38	2	1
142.08	2	1
159.3	2	1
168.46	2	1
177	2	1
187.5	2	1
196.36	2	1
204.9	2	1
213.16	2	1
222.3	2	1
231	2	1
240.44	2	1
259.2	2	1
267.6	2	1
297.2	2	1
306.06	2	1
314.6	2	1
324.5	2	1
342.34	2	1
350.14	2	1
359.58	2	1
368.9	2	1
377.3	2	1
387.06	2	1
395.9	2	1
404.46	2	1
414.36	2	1
423.5	2	1
432.2	2	1
440	2	1
449.46	2	1
458.62	2	1
485.46	2	1
494	2	1
504.04	2	1
513.2	2	1
521.92	2	1
531.36	2	1
539.16	2	1
548.3	2	1
558.5	2	1
587.06	2	1
595.9	2	1
604.44	2	1
623.5	2	1
632.22	2	1
640	2	1
649.44	2	1
658.6	2	1
667.16	2	1
676	2	1
686.52	2	1
695.2	2	1
703.3	2	1
712.46	2	1
721.14	2	1
730.6	2	1
740.18	2	1
757.9	2	1
766.9	2	1
775.6	2	1
794.2	2	1
803.36	2	1
812.06	2	1
821.48	2	1
829.3	2	1
838.46	2	1
847	2	1
