metric,analysis_view,fdr_scope,edge_id,roi_i,roi_j,edge_label,mean,plot_value,q_fdr,p_signflip,direction,hemisphere_relation
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,187,Cerebellum_R,Orbitofrontal_L,Cerebellum_R--Orbitofrontal_L,-0.0347999927360513,0.0347999927360513,0.0072088146473269,0.0007998400319936,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,564,ParaHippocampal_L,Temporal_R,ParaHippocampal_L--Temporal_R,-0.0353783960569524,0.0353783960569524,0.0072088146473269,0.0007998400319936,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,558,ParaHippocampal_L,Precentral_R,ParaHippocampal_L--Precentral_R,-0.0354290499386955,0.0354290499386955,0.0156190984025417,0.0023995200959808,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,177,Cerebellum_R,Frontal_L,Cerebellum_R--Frontal_L,-0.0354727205410256,0.0354727205410256,0.0103579284143171,0.0013997200559888,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,554,ParaHippocampal_L,Parietal_R,ParaHippocampal_L--Parietal_R,-0.0357307162561107,0.0357307162561107,0.005622875424915,0.0005998800239952,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,380,Hippocampus_L,Occipital_R,Hippocampus_L--Occipital_R,-0.0360026263356649,0.0360026263356649,0.0092684759751346,0.0011997600479904,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,482,Olfactory_L,Postcentral_R,Olfactory_L--Postcentral_R,-0.0360104941836071,0.0360104941836071,0.0210857828434313,0.0035992801439712,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,12,Amygdala_L,Hippocampus_R,Amygdala_L--Hippocampus_R,-0.0367066548167405,0.0367066548167405,0.0043252887883961,0.0003999200159968,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,280,Frontal_L,ParaHippocampal_R,Frontal_L--ParaHippocampal_R,-0.0373586004864378,0.0373586004864378,0.005622875424915,0.0005998800239952,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,645,Postcentral_L,Temporal_R,Postcentral_L--Temporal_R,-0.0375745993909252,0.0375745993909252,0.0043252887883961,0.0003999200159968,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,650,Postcentral_R,Putamen_L,Postcentral_R--Putamen_L,-0.0378283928144424,0.0378283928144424,0.0085714564404192,0.000999800039992,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,262,Cingulate_R,Supp_Motor_Area_L,Cingulate_R--Supp_Motor_Area_L,-0.0379561873329308,0.0379561873329308,0.0085714564404192,0.000999800039992,Decrement,Between hemispheres
mutual_info_quantile,all_subjects_block_pool,pool=ALL_SUBJECTS_BLOCKS;gvs=ANY_GVS,388,Hippocampus_L,Paracentral_Lobule_R,Hippocampus_L--Paracentral_Lobule_R,-0.0380434159528142,0.0380434159528142,0.0092684759751346,0.0011997600479904,Decrement,Between hemispheres
