analysis,value_column,description,n_subjects,mean,sd,sem,ci95_low,ci95_high,cohen_dz,paired_t_statistic,paired_t_p_value_two_sided,wilcoxon_statistic,wilcoxon_p_value_two_sided
within_roi_on_minus_off,within_roi_delta_z_on_minus_off,ON - OFF intra-ROI voxel FC,17,0.014702443660515731,0.018982062116783393,0.004603826299972558,0.004942767890510845,0.024462119430520617,0.7745440706105505,3.1935270148231636,0.005654091178749303,16.0,0.0025787353515625
between_roi_on_minus_off,between_roi_delta_z_on_minus_off,ON - OFF between-ROI FC,17,-0.0006474541875241559,0.007406023516128124,0.001796224542517915,-0.004455280113798721,0.003160371738750409,-0.0874226480802002,-0.36045281210586644,0.7232229669884483,66.0,0.644134521484375
within_minus_between_delta,within_minus_between_delta_z,(ON - OFF intra-ROI FC) - (ON - OFF between-ROI FC),17,0.015349897848039888,0.018637605799961838,0.0045202833718745285,0.005767325174022455,0.02493247052205732,0.8235981602353302,3.3957822077146447,0.0036928863256264484,17.0,0.0031585693359375
