analysis_type,source,source_label,baseline_source,component,description,n_subjects,mean,sd,sem,ci95_low,ci95_high,cohen_dz,paired_t_statistic,paired_t_p_value_two_sided,wilcoxon_statistic,wilcoxon_p_value_two_sided
source_vs_zero,run_to_run_baseline_abs,Run-to-run baseline,,within_roi_change,Intra-ROI FC change,17,0.011927854360217737,0.005636736797956416,0.0013671094824576574,0.009029711723740456,0.01482599699669502,2.11609212701614,8.724871353225486,1.7683932432176073e-07,0.0,1.52587890625e-05
source_vs_zero,run_to_run_baseline_abs,Run-to-run baseline,,between_roi_change,Between-ROI FC change,17,0.014364937037262113,0.009897744496908785,0.0024005556480076974,0.009275986397975666,0.01945388767654856,1.4513343966141479,5.9840050153322055,1.9090942542268452e-05,0.0,1.52587890625e-05
source_vs_zero,run_to_run_baseline_abs,Run-to-run baseline,,within_minus_between_change,Intra-minus-between FC change,17,0.015205797257372911,0.007856409106196923,0.0019054590931126087,0.01116640442843463,0.019245190086311193,1.9354640334830566,7.980122644634639,5.727264542425461e-07,0.0,1.52587890625e-05
source_vs_zero,run_level_medication_effect,Run-level medication effect,,within_roi_change,Intra-ROI FC change,17,0.017707066138050082,0.011031594371888763,0.002675554636133334,0.012035143686555682,0.023378988589544483,1.6051230258404057,6.618091777651019,5.911053234893906e-06,0.0,1.52587890625e-05
source_vs_zero,run_level_medication_effect,Run-level medication effect,,between_roi_change,Between-ROI FC change,17,0.025972977445853265,0.017381489229307222,0.0042156303542923166,0.017036240318232032,0.0349097145734745,1.4942895342971987,6.161113585162375,1.3683954771771363e-05,0.0,1.52587890625e-05
source_vs_zero,run_level_medication_effect,Run-level medication effect,,within_minus_between_change,Intra-minus-between FC change,17,0.025586217278134437,0.019380614356235944,0.004700489416477813,0.015621624855210844,0.035550809701058034,1.3201963987226115,5.443309198493375,5.4148609309119046e-05,0.0,1.52587890625e-05
medication_minus_baseline,run_level_medication_effect,Run-level medication effect,run_to_run_baseline_abs,within_roi_change,Medication-effect magnitude minus baseline for intra-ROI FC,17,0.005779211777832342,0.008253105767312767,0.0020016721657661663,0.0015358563463214476,0.010022567209343237,0.7002469059249762,2.88719195714063,0.01072216973504279,6.0,0.003510363671504142
medication_minus_baseline,run_level_medication_effect,Run-level medication effect,run_to_run_baseline_abs,between_roi_change,Medication-effect magnitude minus baseline for between-ROI FC,17,0.011608040408591154,0.017635794187612495,0.004277308366304725,0.0025405517364594007,0.020675529080722906,0.658209110692884,2.7138656871306277,0.01533017409156332,5.0,0.00764908205529392
medication_minus_baseline,run_level_medication_effect,Run-level medication effect,run_to_run_baseline_abs,within_minus_between_change,Medication-effect magnitude minus baseline for intra-minus-between FC,17,0.010380420020761522,0.021054559649504784,0.005106480784457398,-0.0004448356545799833,0.02120567569610303,0.4930247981227988,2.0327933187091234,0.05901254625684192,37.0,0.06146755010760412
