network,label,n_finite_voxels,median_variability,iqr,p25,p75,pct_voxels_below_0p01
Task activation,standard_glm_zgte3.1,22863,0.03319813756429846,0.042722945355050085,0.014990480293511564,0.05771342564856165,18.562743297030135
Without variability penalty,task0_bold0_beta0_smooth0_gamma1.5,5160,0.02755450452918914,0.03693636849122183,0.012276184654388837,0.04921255314561067,21.744186046511626
Final vigour network,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,6252,0.02670278653192501,0.041845362496981314,0.007858437548004412,0.04970380004498573,27.543186180422264
