reference_label,label,n_finite_voxels,median,mean,p75,p95,delta_median_vs_reference,wasserstein_vs_reference,ks_stat_vs_reference,ks_p_vs_reference
standard_glm_zgte3.1,standard_glm_zgte3.1,22863,0.03319813756429846,0.03922744406249954,0.05771342564856165,0.09622548229228263,0.0,0.0,0.0,1.0
standard_glm_zgte3.1,task0_bold0_beta0_smooth0_gamma1.5,5160,0.02755450452918914,0.0338886887350126,0.04921255314561067,0.08635034129598541,-0.005643633035109317,0.005338967731549012,0.08516573442008968,5.147397449795324e-27
standard_glm_zgte3.1,task1_bold0_beta0.6_smooth1.25_gamma1.5,6104,0.017273398275342574,0.02691649316021684,0.040475333046490654,0.08994610541809062,-0.015924739288955884,0.012323837097340602,0.22478179903326378,2.2726571522900124e-214
standard_glm_zgte3.1,task1_bold0.6_beta0_smooth1.25_gamma1.5,6154,0.027578459680473018,0.034128414214786976,0.05058706407804704,0.09410206742164448,-0.00561967788382544,0.005104279460693926,0.11785639947637971,3.8480890987179267e-59
standard_glm_zgte3.1,task1_bold0.6_beta0.6_smooth1.25_gamma1.5,6252,0.02670278653192501,0.033359936606048815,0.04970380004498573,0.09347919901985745,-0.006495351032373448,0.005872208317095598,0.13025074332859593,4.4977607358227425e-73
