active_gvs,sham_gvs,time_index,n_subjects,mean_sham,mean_active,mean_active_minus_sham,median_active_minus_sham,p_perm,p_perm_exact,p_wilcoxon,p_paired_t,q_perm_fdr
gvs-02,gvs-01,0,18,0.20860273165983442,0.20924167736988564,0.0006389457100511638,0.0004188188923516436,0.05147552490234375,True,0.0987396240234375,0.053909644005467196,0.7223261052911932
gvs-02,gvs-01,1,18,0.21082302640971737,0.21130396252768907,0.0004809361179717198,0.00014234722569716855,0.2149810791015625,True,0.32472991943359375,0.2123510160409067,0.7223261052911932
gvs-02,gvs-01,2,18,0.21213490305038496,0.21267692859168294,0.0005420255412979944,0.0008971186491619956,0.21587371826171875,True,0.18146514892578125,0.21758676244503775,0.7223261052911932
gvs-02,gvs-01,3,18,0.21276301897752178,0.21291690534646476,0.00015388636894295485,0.0006613033130588395,0.714324951171875,True,0.5798416137695312,0.716664611455208,0.8946733474731445
gvs-02,gvs-01,4,18,0.21215785624152725,0.21167020632342667,-0.00048764991810057727,-0.0004517012608806926,0.41997528076171875,True,0.34654998779296875,0.4225739504096694,0.8120819091796875
gvs-02,gvs-01,5,18,0.210923889302472,0.21013901572898253,-0.0007848735734895031,-0.0005453600154596769,0.311767578125,True,0.34654998779296875,0.31372622572316705,0.7861716530539773
gvs-02,gvs-01,6,18,0.21035786769496673,0.2095553390829742,-0.0008025286119925155,-0.000827007960339193,0.265472412109375,True,0.2645263671875,0.2678839879462108,0.7861716530539773
gvs-02,gvs-01,7,18,0.20966308281620394,0.20845523100796617,-0.0012078518082377313,-0.0009577222182466476,0.04256439208984375,True,0.03423309326171875,0.04341617843062023,0.7223261052911932
gvs-02,gvs-01,8,18,0.20853852775532614,0.2078601848752681,-0.0006783428800580256,-0.0004925097221177288,0.24538421630859375,True,0.4171142578125,0.24388078836735852,0.7681592858355978
gvs-03,gvs-01,0,18,0.20860273165983442,0.20874773194640683,0.00014500028657237287,0.00021289230157817054,0.8582763671875,True,1.0,0.8470081631222459,0.9223268423507462
gvs-03,gvs-01,1,18,0.21082302640971737,0.21114428309827693,0.0003212566885595886,0.0001467139528217292,0.6746292114257812,True,0.83172607421875,0.6279989845896263,0.8946733474731445
gvs-03,gvs-01,2,18,0.21213490305038496,0.21290688418022605,0.0007719811298410727,0.0004124406684450129,0.22071075439453125,True,0.11870574951171875,0.20895470367714614,0.7223261052911932
gvs-03,gvs-01,3,18,0.21276301897752178,0.21292705941340404,0.00016404043588222325,-0.00031741375099005086,0.7922134399414062,True,0.932281494140625,0.7853234343165385,0.8946733474731445
gvs-03,gvs-01,4,18,0.21215785624152725,0.21161947293489103,-0.0005383833066362301,-0.0004280181006531304,0.43892669677734375,True,0.49507904052734375,0.4365024303853301,0.8120819091796875
gvs-03,gvs-01,5,18,0.210923889302472,0.21049477784194592,-0.0004291114605260739,-0.0001043177136321365,0.5525131225585938,True,0.8650436401367188,0.5386847873607992,0.88402099609375
gvs-03,gvs-01,6,18,0.21035786769496673,0.21032895863173542,-2.8909063231276498e-05,0.00013310183824603687,0.963531494140625,True,1.0,0.9646362113696416,0.9792609416263204
gvs-03,gvs-01,7,18,0.20966308281620394,0.20917821969110134,-0.000484863125102568,-0.0007798933223559373,0.3466644287109375,True,0.24620819091796875,0.3473343497551251,0.7861716530539773
gvs-03,gvs-01,8,18,0.20853852775532614,0.20785569472791318,-0.0006828330274129966,-0.0007044943865904341,0.3357086181640625,True,0.22875213623046875,0.3335837987812438,0.7861716530539773
gvs-04,gvs-01,0,18,0.20860273165983442,0.20897382226234343,0.00037109060250899915,0.000409603609550481,0.6375045776367188,True,0.6094589233398438,0.6100094024435596,0.8946733474731445
gvs-04,gvs-01,1,18,0.21082302640971737,0.21144879022722776,0.0006257638175104211,0.0004352071590762001,0.36032867431640625,True,0.39273834228515625,0.3342677459579567,0.7861716530539773
gvs-04,gvs-01,2,18,0.21213490305038496,0.21291749904907484,0.000782595998689871,0.0011207486360223055,0.20714569091796875,True,0.2645263671875,0.2061319101294311,0.7223261052911932
gvs-04,gvs-01,3,18,0.21276301897752178,0.21231826189749647,-0.00044475708002535044,-0.0005796646101875122,0.4459075927734375,True,0.32472991943359375,0.4441741144240896,0.8120819091796875
gvs-04,gvs-01,4,18,0.21215785624152725,0.2113896255648021,-0.0007682306767251304,-0.0009139614119619941,0.19791412353515625,True,0.0897674560546875,0.1959440842984585,0.7223261052911932
gvs-04,gvs-01,5,18,0.210923889302472,0.21028239028644816,-0.0006414990160238284,-0.0007510230616488735,0.32942962646484375,True,0.1083831787109375,0.3217958079317039,0.7861716530539773
gvs-04,gvs-01,6,18,0.21035786769496673,0.21003413453287667,-0.0003237331620900392,-0.001115779592272985,0.6744308471679688,True,0.32472991943359375,0.665755309553991,0.8946733474731445
gvs-04,gvs-01,7,18,0.20966308281620394,0.2091245785657566,-0.0005385042504472827,-0.0008538752663774186,0.47048187255859375,True,0.0987396240234375,0.4442960016480022,0.8262120688833842
