active_gvs,sham_gvs,feature,label,n_subjects,mean_sham,mean_active,mean_active_minus_sham,median_active_minus_sham,mean_diff_ci95_low,mean_diff_ci95_high,cohen_dz,p_perm,p_perm_exact,p_wilcoxon,p_paired_t,q_perm_fdr
gvs-02,gvs-01,slope,Linear slope,18,-0.0001521641130743299,-0.0003848872195423064,-0.00023272310646797653,-0.00019669095544037744,-0.00039853036831679766,-6.772581534347342e-05,-0.6384905841824587,0.015533447265625,True,0.01593017578125,0.014896040028628777,0.09033203125
gvs-02,gvs-01,early_late_change,Late minus early,18,-0.0010003942844799896,-0.0024506045076830413,-0.0014502102232030513,-0.0015226120817866478,-0.002509042545574944,-0.0004143510987780232,-0.624700595774764,0.01723480224609375,True,0.0182342529296875,0.016827334020589203,0.09033203125
gvs-02,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.01591925486325301,0.016682872653130707,0.0007636177898776932,0.0012158286918369692,-0.00040796459418986693,0.0018727421123130668,0.30409671731386984,0.21187591552734375,True,0.18146514892578125,0.21426464081763033,0.33900146484375
gvs-02,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.020125912120954676,0.02034251625261853,0.0002166041316638579,0.0007879577557890864,-0.0009808306231903635,0.0012624776819405068,0.0874670207710125,0.7215423583984375,True,0.44229888916015625,0.7151537038274418,0.7448179183467742
gvs-03,gvs-01,slope,Linear slope,18,-0.0001521641130743299,-0.0002842411960656791,-0.00013207708299134915,-6.614186796028442e-05,-0.00024316124552212234,-2.9070037261577878e-05,-0.5562491559600007,0.03122711181640625,True,0.06653594970703125,0.030492636438697183,0.10625
gvs-03,gvs-01,early_late_change,Late minus early,18,-0.0010003942844799896,-0.0018120087247199496,-0.0008116144402399599,-0.00043686523429531816,-0.0015727337711239431,-8.26186277261774e-05,-0.4927420789875767,0.05263519287109375,True,0.11870574951171875,0.051902042815293176,0.14036051432291666
gvs-03,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.01591925486325301,0.01668531263404914,0.0007660577707961229,0.0006486070258127201,-0.0004938077591617878,0.002159447893217833,0.2573599971221092,0.30828857421875,True,0.30379486083984375,0.2901165728565779,0.4110514322916667
gvs-03,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.020125912120954676,0.02090428718761153,0.0007783750666568517,0.0005235256086145957,-0.0007231205432469585,0.0022298229787920793,0.24016769584118172,0.32747650146484375,True,0.18146514892578125,0.3225118294372332,0.419169921875
gvs-04,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.01591925486325301,0.017148407840120318,0.0012291529768673035,0.0007948321999695948,0.00023162316901881097,0.0024497099966592022,0.49285104788035483,0.03655242919921875,True,0.04827880859375,0.05185569142499566,0.10633433948863637
gvs-04,gvs-01,early_late_change,Late minus early,18,-0.0010003942844799896,-0.001982226411217212,-0.000981832126737222,-0.0010365497381334748,-0.0019641106827048152,5.640176682615382e-05,-0.43890420870510793,0.08038330078125,True,0.0599365234375,0.0799647635622799,0.17527669270833332
gvs-04,gvs-01,slope,Linear slope,18,-0.0001521641130743299,-0.00029552746419645684,-0.00014336335112212695,-0.00016512968233394078,-0.00029142243788972204,1.0562843786601176e-05,-0.4233163119685945,0.0906982421875,True,0.0736846923828125,0.09029198497708839,0.17784926470588236
gvs-04,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.020125912120954676,0.020949134525689,0.0008232224047343273,0.0005971985844539867,-0.0002584203664677054,0.0019822019687714245,0.3228295995445545,0.19522857666015625,True,0.2121429443359375,0.18861774942803772,0.32880602384868424
gvs-05,gvs-01,early_late_change,Late minus early,18,-0.0010003942844799896,-0.001745435511377662,-0.0007450412268976723,-0.00038388095134629706,-0.0015745965008850504,-2.7464683007679795e-05,-0.4300948636821469,0.08216094970703125,True,0.11870574951171875,0.08566508445612336,0.17527669270833332
gvs-05,gvs-01,slope,Linear slope,18,-0.0001521641130743299,-0.00026064192736634066,-0.0001084778142920108,-9.324473849916051e-05,-0.0002283003594542814,4.042708857923956e-06,-0.41643091227968504,0.094482421875,True,0.1083831787109375,0.09521466790013326,0.17784926470588236
gvs-05,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.01591925486325301,0.0166494910464465,0.0007302361831934848,0.00032409568862375475,-0.00040063361892184196,0.001988367537907549,0.2718296230169851,0.2824249267578125,True,0.550872802734375,0.26475539841368356,0.3929390285326087
gvs-05,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.020125912120954676,0.020592574564792215,0.00046666244383753694,0.0003058880054123674,-0.0005994527525391857,0.001679607002450553,0.18714534504468433,0.44734954833984375,True,0.7337265014648438,0.4381445132191776,0.5172380719866071
gvs-06,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.01591925486325301,0.017363251746146516,0.0014439968828934993,0.001357594530301935,0.0005925830407865529,0.0023831016699789247,0.7209840112614992,0.00476837158203125,True,0.00896453857421875,0.007103122132419845,0.0762939453125
gvs-06,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.020125912120954676,0.02103559697598413,0.0009096848550294486,0.00037188089203599997,5.025088612248132e-05,0.0018315357170227383,0.45477071758396415,0.07143402099609375,True,0.15404510498046875,0.07054072411936439,0.17527669270833332
gvs-06,gvs-01,early_late_change,Late minus early,18,-0.0010003942844799896,-0.0016743151906387064,-0.0006739209061587168,-0.0007006785234757069,-0.0017913511201967697,0.0003305722257090847,-0.2910619604832194,0.23853302001953125,True,0.32472991943359375,0.23367471832867254,0.36339222301136365
gvs-06,gvs-01,slope,Linear slope,18,-0.0001521641130743299,-0.0002536478524124138,-0.00010148373933808384,-0.00010493723830833772,-0.00027126071303590593,5.37844208448127e-05,-0.28399109703524106,0.2498321533203125,True,0.3692169189453125,0.24475849853561016,0.36339222301136365
gvs-07,gvs-01,abs_baseline_response,Max abs. baseline response,18,0.01591925486325301,0.017747224155939316,0.0018279692926863019,0.0013767675326977142,0.0009200640283509288,0.0028448820491828583,0.8487472553464013,0.0009613037109375,True,0.0008392333984375,0.0022044518813855805,0.03076171875
gvs-07,gvs-01,peak_to_peak,Peak-to-peak amplitude,18,0.020125912120954676,0.021550485489073408,0.0014245733681187312,0.0010175896386759762,0.000528990738042452,0.002349422067056403,0.7040789001931873,0.0081024169921875,True,0.01593017578125,0.008278268179132782,0.08642578125
gvs-07,gvs-01,slope,Linear slope,18,-0.0001521641130743299,-0.00021122570249549043,-5.906158942116047e-05,7.069781576545911e-06,-0.00020618407727415554,8.577152014614342e-05,-0.17955317476459784,0.45258331298828125,True,0.550872802734375,0.4566306399999126,0.5172380719866071
gvs-07,gvs-01,early_late_change,Late minus early,18,-0.0010003942844799896,-0.0013005676075036427,-0.0003001733230236527,-6.715386807044612e-05,-0.0011895904329280534,0.0005864640478005778,-0.14786269316231862,0.5344619750976562,True,0.5798416137695312,0.5387793639139398,0.5897511449353449
gvs-08,gvs-01,slope,Linear slope,18,-0.00016902478686791407,-0.00034241136353442645,-0.00017338657666651235,-0.00013734155902391098,-0.00030084550918064686,-5.0129403828022834e-05,-0.6244809319855854,0.016998291015625,True,0.0138702392578125,0.016859955398415304,0.09033203125
gvs-08,gvs-01,early_late_change,Late minus early,18,-0.00111916638211587,-0.002181464568492558,-0.0010622981863766872,-0.0006679623507542178,-0.001885439161229405,-0.00023315163923760262,-0.5684303993453944,0.027069091796875,True,0.0138702392578125,0.027471207275734606,0.10625
