Cluster Index	Z	x	y	z	
5	7.56	64	-20	34
5	7.18	46	44	-4
5	6.91	46	-38	44
5	6.84	62	-30	34
5	6.68	12	-66	60
5	6.67	-32	-14	-6
4	4.12	-26	38	16
4	4.04	-20	38	18
4	3.92	-16	44	22
4	3.82	-28	42	16
4	3.7	-18	28	18
4	3.49	-30	38	22
3	4.46	6	28	54
3	4.23	6	28	50
3	3.36	6	22	56
2	4.52	14	56	20
2	4	24	64	16
2	3.85	22	58	20
2	3.66	26	60	20
2	3.4	22	56	14
1	4.27	2	-28	-4
1	3.42	4	-36	-4
1	3.39	4	-32	-6
