percentile,threshold_label,threshold_value,n_voxels,n_unassigned_voxels,atlas_assigned_fraction,n_components,largest_component_voxels,n_reportable_nodes,jaccard_vs_p90,p90_voxels_retained,threshold_voxels_in_p90,node_jaccard_vs_p90,p90_nodes_retained
80.0,p80,0.0002701661694892721,18375,1244,0.9322993197278912,902,2098,22,0.5000816326530613,1.0,0.5000816326530613,0.8636363636363636,1.0
85.0,p85,0.0003066986539614902,13782,892,0.9352778987084603,823,974,20,0.6667392250761863,1.0,0.6667392250761863,0.95,1.0
90.0,p90,0.00035733996281983593,9189,595,0.9352486668843182,625,780,19,1.0,1.0,1.0,1.0,1.0
95.0,p95,0.000437347159666146,4595,317,0.9310119695321001,414,514,16,0.5000544128849712,0.5000544128849712,1.0,0.8421052631578947,0.8421052631578947
97.5,p97p5,0.0005045646874092033,2297,189,0.9177187636047017,236,321,12,0.24997279355751442,0.24997279355751442,1.0,0.631578947368421,0.631578947368421
