session,medication,n_trials,n_subjects,test,full_formula,null_formula,chi2,df,p_value,full_llf,null_llf,full_aic,null_aic,full_optimizer,null_optimizer,full_converged,null_converged,full_warnings,null_warnings
1,OFF,2846,18,mixedlm_likelihood_ratio_anova,"inverse_rt_z ~ C(condition_label, Treatment(reference=""sham"")) + C(run)",inverse_rt_z ~ C(run),8.78124464965731,8,0.36108479036440233,-4032.628139460283,-4037.0187617851116,8089.256278920566,8082.037523570223,powell,powell,True,True,The MLE may be on the boundary of the parameter space. | The Hessian matrix at the estimated parameter values is not positive definite.,The MLE may be on the boundary of the parameter space. | The Hessian matrix at the estimated parameter values is not positive definite.
2,ON,2684,18,mixedlm_likelihood_ratio_anova,"inverse_rt_z ~ C(condition_label, Treatment(reference=""sham"")) + C(run)",inverse_rt_z ~ C(run),9.496992623229744,8,0.3021180223584983,-3803.646461720824,-3808.394958032439,7631.292923441648,7624.789916064878,powell,powell,True,True,The MLE may be on the boundary of the parameter space. | The Hessian matrix at the estimated parameter values is not positive definite.,The MLE may be on the boundary of the parameter space. | The Hessian matrix at the estimated parameter values is not positive definite.
