session,medication,condition_code,condition_label,n_trials,n_subjects,mean_inverse_rt,median_inverse_rt,mean_rt_ms,median_rt_ms,mean_inverse_rt_z,median_inverse_rt_z,sem_inverse_rt_z_trial,mean_subject_inverse_rt,sem_subject_inverse_rt,mean_subject_rt_ms,sem_subject_rt_ms,mean_subject_inverse_rt_z,sem_subject_inverse_rt_z
1,OFF,gvs-01,sham,318,18,2.655550055021864,2.7137092023094143,394.8333333333333,368.5,-0.10632181955499659,-0.11226114454438255,0.05079371493900389,2.656628237293633,0.08533874844646765,394.7510167029775,15.739447492465334,-0.10856552856498532,0.03633999188918438
1,OFF,gvs-02,GVS1,310,18,2.7381233271649665,2.793317884256767,383.31290322580645,358.0,0.005935796624550713,-0.0032476923111512067,0.05290842580609139,2.7270094429695817,0.10852886319915732,386.0343655980911,16.95546152948951,-0.002012550158769006,0.05726093937990617
1,OFF,gvs-03,GVS2,317,18,2.7046574166658615,2.7247956403269757,382.50473186119876,366.99999999999994,-0.0010999715622193199,-0.025800687965375945,0.04613258650130284,2.6997033462817743,0.08451540306381108,383.31459435626107,13.822596001185214,-0.0012791206060378103,0.042593308096092436
1,OFF,gvs-04,GVS3,318,18,2.7920129721436546,2.6954177897574123,394.2201257861635,371.0,-0.024087229692207203,0.004537470283688355,0.0657894066638221,2.787222941010574,0.15813758909252448,394.8179012345679,19.4477693604932,-0.025256320476412415,0.06980443551865646
1,OFF,gvs-05,GVS4,319,18,2.715730377252961,2.7548209366391188,387.37931034482756,362.99999999999994,0.012442118362476311,0.02133483240920337,0.054333985000022435,2.7162725687792526,0.09872301818565843,387.60019517066087,16.138628492453197,0.010992535218270542,0.05302370775749004
1,OFF,gvs-06,GVS5,315,18,2.7648326325462933,2.6954177897574123,389.9873015873016,371.0,-0.025828260276979587,-0.04545292478377968,0.07205439313925972,2.7601798897178504,0.13549578646833943,391.20532212885155,17.45958380499521,-0.026476946539142794,0.06598552081850577
1,OFF,gvs-07,GVS6,313,18,2.7201412146400377,2.73972602739726,384.78274760383385,365.0,0.012807344635868767,0.04636718775568073,0.056104395679771824,2.722445518576425,0.09261646647361103,384.55385932150637,15.051756680327022,0.014393647682577568,0.05493454864654386
1,OFF,gvs-08,GVS7,318,18,2.7584458970586043,2.7777777777777777,376.08490566037733,360.0,0.12146959728083737,0.09950227986169158,0.05349098332652191,2.7543271449297584,0.07970999278663375,376.6878526339311,12.835820154516394,0.12607433330774254,0.05709248539716629
1,OFF,gvs-09,GVS8,318,18,2.7231479262793785,2.7894057048598686,385.12893081761007,358.5,0.00474687772172664,0.022404716713955265,0.04986414092024135,2.7196401319446495,0.10113544124549666,385.6493827160494,16.767637594600654,0.0050726871433811205,0.045964989857048964
2,ON,gvs-01,sham,305,18,3.2360150168346657,2.808988764044944,369.3180327868852,356.0,0.042120529352457275,0.06201902567615887,0.06038742949715932,3.350703000086947,0.531850228499604,368.3846279537456,14.334349503623468,0.05171064808786928,0.06547313291851317
2,ON,gvs-02,GVS1,295,18,2.9681911394422897,2.801120448179272,375.87796610169494,356.99999999999994,-0.027907488853460626,-0.09530035679689751,0.05808460282139327,3.1709231818400285,0.42729903871042313,374.6123910675381,14.728878215181417,-0.008903257511931864,0.050463566320138965
2,ON,gvs-03,GVS2,301,18,2.805481491120268,2.873563218390805,374.797342192691,347.99999999999994,0.0032003941632682167,0.0220389391675593,0.05663042762461769,2.7986908748600596,0.09593950736906062,375.664136108989,16.476128321191457,0.010953768588788777,0.08030124254101044
2,ON,gvs-04,GVS3,293,18,2.9397550062012345,2.824858757062147,372.1808873720137,354.0,-0.07127822736576803,-0.08416066261865246,0.05243520385251609,2.970441790413386,0.25735913361969914,376.46862208688185,14.274451161197618,-0.07040150209698978,0.03453155355602979
2,ON,gvs-05,GVS4,298,18,2.7583344555591998,2.809010928314988,377.09395973154363,355.99999999999994,-0.08108184146458501,-0.0976381235972752,0.05049534501293031,2.752818992278073,0.08850262660632915,378.1597952564864,13.813488388008686,-0.08469076322280816,0.0486729235005501
2,ON,gvs-06,GVS5,305,18,2.8249956733704495,2.857142857142857,373.0950819672131,350.0,-0.025048156988774637,-0.04756751616850814,0.05185091956484174,2.823795638537468,0.11021407474300596,373.24054362485737,15.916057470460645,-0.020973027635608918,0.05813313969176574
2,ON,gvs-07,GVS6,301,18,2.8084983592507937,2.865329512893983,375.8870431893688,349.0,0.006818015788038215,-0.030551334801736527,0.05442131911808222,2.8164749664932023,0.10490030753852322,376.33707045949694,17.004020224719223,8.868657281032834e-05,0.054503506083382974
2,ON,gvs-08,GVS7,293,18,2.9068270188866108,2.865329512893983,370.3788395904437,349.0,0.024736397554881693,-0.028240109190703525,0.07417960814184538,2.890496961132538,0.13830384499196557,373.27243489988587,16.232949438569104,0.016609869128023955,0.06926646735197514
2,ON,gvs-09,GVS8,293,18,2.967704850591638,2.8985507246376816,365.7201365187713,344.99999999999994,0.1290417717970676,0.13264517540350332,0.05978424115478261,2.947166321291064,0.1829847599298062,369.7982727602826,16.498627226392937,0.1245241368472799,0.0593007773263077
