active_gvs,sham_gvs,feature,label,n_subjects,mean_sham,mean_active,mean_active_minus_sham,median_active_minus_sham,mean_diff_ci95_low,mean_diff_ci95_high,cohen_dz,p_perm,p_perm_exact,p_wilcoxon,p_paired_t,q_perm_fdr
gvs-02,gvs-01,early_late_change,Late minus early,17,-0.0013359457081693641,-0.003147993210008812,-0.0018120475018394474,-0.0017572228710138501,-0.0032851734879058843,-0.000529675963753191,-0.6135707778246783,0.0164794921875,True,0.023223876953125,0.02229381163057834,0.07293701171875
gvs-02,gvs-01,slope,Linear slope,17,-0.00020673318343486416,-0.0004948509745014215,-0.00028811779106655737,-0.00023756666706846414,-0.0005170011709435764,-8.301552018804999e-05,-0.612748391196819,0.0164947509765625,True,0.030517578125,0.022446846054465265,0.07293701171875
gvs-02,gvs-01,abs_baseline_response,Max abs. baseline response,17,0.014454234662047732,0.015599150872099572,0.0011449162100518387,0.0008151344786777011,-0.0002610180148272163,0.0025385368957238303,0.37340298779401154,0.1432037353515625,True,0.1593780517578125,0.14320467651155866,0.2721162683823529
gvs-02,gvs-01,peak_to_peak,Peak-to-peak amplitude,17,0.018369201128207384,0.01906821260339872,0.0006990114751913382,0.0001615660468723499,-0.0007506476195623949,0.0021271458577015734,0.22129011730584844,0.3726348876953125,True,0.4585723876953125,0.3751001891519148,0.47697265625
gvs-03,gvs-01,early_late_change,Late minus early,17,-0.0013359457081693641,-0.0027527790788398157,-0.001416833370670451,-0.0009702589102509617,-0.0022086690831387263,-0.0007088836556016078,-0.8583981381245623,0.00048828125,True,0.0003814697265625,0.0027276647783500076,0.015625
gvs-03,gvs-01,slope,Linear slope,17,-0.00020673318343486416,-0.0004209002562449306,-0.00021416707281006649,-0.00014699375243415,-0.0003366600891346152,-0.0001042857489607056,-0.8409091231974126,0.0009918212890625,True,0.0008392333984375,0.003176393071168694,0.015869140625
gvs-03,gvs-01,abs_baseline_response,Max abs. baseline response,17,0.014454234662047732,0.01490235114895283,0.0004481164869050974,-0.00026454282914525114,-0.0008323939082081472,0.0017994957950496116,0.15683308610837682,0.526763916015625,True,0.7466583251953125,0.5270334210233079,0.6243127893518519
gvs-03,gvs-01,peak_to_peak,Peak-to-peak amplitude,17,0.018369201128207384,0.01889382151106489,0.0005246203828575058,0.000498240080978098,-0.0012836689740356717,0.002275966752971885,0.13619464794425915,0.58660888671875,True,0.54766845703125,0.5822070581838048,0.67041015625
gvs-04,gvs-01,early_late_change,Late minus early,17,-0.0013359457081693641,-0.0024445395300919997,-0.0011085938219226358,-0.0006320313379761502,-0.002511581871699226,0.0003668128826329441,-0.3546982428649558,0.1660919189453125,True,0.0983734130859375,0.16298058836814147,0.2947665127840909
gvs-04,gvs-01,slope,Linear slope,17,-0.00020673318343486416,-0.0003623610182443102,-0.00015562783480944602,-8.896495056269997e-05,-0.00036008091898148404,6.175675085284927e-05,-0.33723999708932506,0.184906005859375,True,0.1454315185546875,0.1834241455448204,0.2947665127840909
