,Frontal-Parietal,Subcortical,Cingulate-Temporal,Visual,Limbic-Olfactory,Somatosensory-Cerebellum
Frontal-Parietal,1,3,2,6,5,4
Subcortical,3,4,6,3,4,16
Cingulate-Temporal,2,6,2,2,2,6
Visual,6,3,2,4,4,9
Limbic-Olfactory,5,4,2,4,0,4
Somatosensory-Cerebellum,4,16,6,9,4,7
