,Frontal-Parietal,Subcortical,Cingulate-Temporal,Visual,Limbic-Olfactory,Somatosensory-Cerebellum
Frontal-Parietal,1,3,3,1,2,2
Subcortical,3,1,1,3,2,5
Cingulate-Temporal,3,1,1,1,2,6
Visual,1,3,1,0,0,0
Limbic-Olfactory,2,2,2,0,0,3
Somatosensory-Cerebellum,2,5,6,0,3,3
